i, 0, Q, 1, method, 1, obj, -177.075394128, running time, 1.07873916626, 
i, 2, Q, 1, method, 2, obj, -111.62585583, running time, 1.12951016426, 
i, 2, Q, 1, method, relaxed, obj, -103.244588911, running time, 0.18474316597, 
i, 2, Q, 2, method, 1, obj, -111.165589823, running time, 1.90809702873, 
i, 2, Q, 2, method, 2, obj, -111.89120382, running time, 3.10189890862, 
i, 2, Q, 2, method, relaxed, obj, -103.244588911, running time, 0.176697015762, 
i, 2, Q, 3, method, 1, obj, -111.091309615, running time, 6.25789213181, 
i, 2, Q, 3, method, 2, obj, -111.314963935, running time, 52.8331749439, 
i, 2, Q, 3, method, relaxed, obj, -103.244588911, running time, 0.219153881073, 
i, 2, Q, 4, method, 1, obj, -111.092034034, running time, 22.6893570423, 
i, 2, Q, 4, method, 2, obj, -111.109511536, running time, 136.54941988, 
i, 2, Q, 4, method, relaxed, obj, -103.244588911, running time, 0.187227010727, 
i, 2, Q, 5, method, 1, obj, -111.091757873, running time, 18.2871408463, 
i, 2, Q, 5, method, 2, obj, -112.011154547, running time, 164.678141117, 
i, 2, Q, 5, method, relaxed, obj, -103.244588911, running time, 0.185919046402, 
i, 2, Q, 6, method, 1, obj, -111.090709235, running time, 35.6256608963, 
i, 2, Q, 6, method, 2, obj, -112.171463916, running time, 602.915917158, 
i, 2, Q, 6, method, relaxed, obj, -103.244588911, running time, 0.217035055161, 
i, 2, Q, 7, method, 1, obj, -111.088868978, running time, 36.9689240456, 
i, 2, Q, 7, method, 2, obj, -112.121729928, running time, 574.884667158, 
i, 2, Q, 7, method, relaxed, obj, -103.244588911, running time, 0.18865609169, 
i, 2, Q, 8, method, 1, obj, -111.086789336, running time, 50.8849840164, 
i, 2, Q, 8, method, 2, obj, -112.181904356, running time, 603.695716143, 
i, 2, Q, 8, method, relaxed, obj, -103.244588911, running time, 0.164381980896, 
i, 2, Q, 9, method, 1, obj, -111.085866905, running time, 69.9654841423, 
i, 2, Q, 9, method, 2, obj, -112.07180729, running time, 603.879688978, 
i, 2, Q, 9, method, relaxed, obj, -103.244588911, running time, 0.183989048004, 
i, 2, Q, 10, method, 1, obj, -111.093968394, running time, 19.4081058502, 
i, 2, Q, 10, method, 2, obj, -112.564506985, running time, 604.13990283, 
i, 2, Q, 10, method, relaxed, obj, -103.244588911, running time, 0.198783874512, 
i, 3, Q, 1, method, 1, obj, -413.148537738, running time, 0.774057149887, 
i, 3, Q, 1, method, 2, obj, -414.89350304, running time, 0.863871097565, 
i, 3, Q, 1, method, relaxed, obj, -402.288810369, running time, 0.103828907013, 
i, 3, Q, 2, method, 1, obj, -411.757987164, running time, 1.66171598434, 
i, 3, Q, 2, method, 2, obj, -413.216777184, running time, 2.16951203346, 
i, 3, Q, 2, method, relaxed, obj, -402.288810369, running time, 0.099760055542, 
i, 3, Q, 3, method, 1, obj, -409.36626281, running time, 2.37483882904, 
i, 3, Q, 3, method, 2, obj, -415.587893161, running time, 3.15911412239, 
i, 3, Q, 3, method, relaxed, obj, -402.288810369, running time, 0.105298995972, 
i, 3, Q, 4, method, 1, obj, -409.552569095, running time, 4.54884886742, 
i, 3, Q, 4, method, 2, obj, -413.047841046, running time, 5.91894078255, 
i, 3, Q, 4, method, relaxed, obj, -402.288810369, running time, 0.101106882095, 
i, 3, Q, 5, method, 1, obj, -408.779784226, running time, 17.6392090321, 
i, 3, Q, 5, method, 2, obj, -411.453453776, running time, 8.01094794273, 
i, 3, Q, 5, method, relaxed, obj, -402.288810369, running time, 0.102501869202, 
i, 3, Q, 6, method, 1, obj, -408.659983388, running time, 13.7236340046, 
i, 3, Q, 6, method, 2, obj, -411.334691537, running time, 10.8515899181, 
i, 3, Q, 6, method, relaxed, obj, -402.288810369, running time, 0.0968580245972, 
i, 3, Q, 7, method, 1, obj, -408.554582143, running time, 9.4650850296, 
i, 3, Q, 7, method, 2, obj, -411.014199232, running time, 12.8885121346, 
i, 3, Q, 7, method, relaxed, obj, -402.288810369, running time, 0.104845046997, 
i, 3, Q, 8, method, 1, obj, -408.44575088, running time, 7.44367289543, 
i, 3, Q, 8, method, 2, obj, -414.312510826, running time, 16.5552241802, 
i, 3, Q, 8, method, relaxed, obj, -402.288810369, running time, 0.10910820961, 
i, 3, Q, 9, method, 1, obj, -408.33723801, running time, 8.61446595192, 
i, 3, Q, 9, method, 2, obj, -410.35686016, running time, 29.9684491158, 
i, 3, Q, 9, method, relaxed, obj, -402.288810369, running time, 0.102530956268, 
i, 3, Q, 10, method, 1, obj, -408.204930209, running time, 12.1935169697, 
i, 3, Q, 10, method, 2, obj, -410.824801967, running time, 17.9490180016, 
i, 3, Q, 10, method, relaxed, obj, -402.288810369, running time, 0.0967428684235, 
i, 4, Q, 1, method, 1, obj, -209.764827585, running time, 18.513753891, 
i, 4, Q, 1, method, 2, obj, -263.689323813, running time, 4.8215918541, 
i, 4, Q, 1, method, relaxed, obj, -178.870233207, running time, 0.109380960464, 
i, 4, Q, 2, method, 1, obj, -206.679129913, running time, 135.769525051, 
i, 4, Q, 2, method, 2, obj, -250.631189638, running time, 81.4378540516, 
i, 4, Q, 2, method, relaxed, obj, -178.870233207, running time, 0.108251094818, 
i, 4, Q, 3, method, 1, obj, -207.222177422, running time, 600.392987013, 
i, 4, Q, 3, method, 2, obj, -247.906351355, running time, 332.213937998, 
i, 4, Q, 3, method, relaxed, obj, -178.870233207, running time, 0.108284950256, 
i, 4, Q, 4, method, 1, obj, -207.186378681, running time, 600.425433874, 
i, 4, Q, 4, method, 2, obj, -249.883934677, running time, 603.005717039, 
i, 4, Q, 4, method, relaxed, obj, -178.870233207, running time, 0.108340978622, 
i, 4, Q, 5, method, 1, obj, -206.330435007, running time, 600.457395077, 
i, 4, Q, 5, method, 2, obj, -247.466762644, running time, 603.881398916, 
i, 4, Q, 5, method, relaxed, obj, -178.870233207, running time, 0.108036994934, 
i, 4, Q, 6, method, 1, obj, -207.611698731, running time, 600.511291981, 
i, 4, Q, 6, method, 2, obj, -246.053419335, running time, 602.639904022, 
i, 4, Q, 6, method, relaxed, obj, -178.870233207, running time, 0.108345985413, 
i, 4, Q, 7, method, 1, obj, -212.574249096, running time, 600.769733191, 
i, 4, Q, 7, method, 2, obj, -246.211873956, running time, 603.714318037, 
i, 4, Q, 7, method, relaxed, obj, -178.870233207, running time, 0.113342046738, 
i, 4, Q, 8, method, 1, obj, -215.545479717, running time, 600.614310026, 
i, 4, Q, 8, method, 2, obj, -248.167207904, running time, 603.69254899, 
i, 4, Q, 8, method, relaxed, obj, -178.870233207, running time, 0.108309030533, 
i, 4, Q, 9, method, 1, obj, -214.169734619, running time, 600.68244791, 
i, 4, Q, 9, method, 2, obj, -248.301833186, running time, 604.640794039, 
i, 4, Q, 9, method, relaxed, obj, -178.870233207, running time, 0.108232021332, 
i, 4, Q, 10, method, 1, obj, -214.602081155, running time, 600.713006973, 
i, 4, Q, 10, method, 2, obj, -248.926495683, running time, 605.055696011, 
i, 4, Q, 10, method, relaxed, obj, -178.870233207, running time, 0.108578920364, 
i, 5, Q, 1, method, 1, obj, -255.849710707, running time, 0.828099012375, 
i, 5, Q, 1, method, 2, obj, -300.097409792, running time, 0.799877882004, 
i, 5, Q, 1, method, relaxed, obj, -240.353061297, running time, 0.183894872665, 
i, 5, Q, 2, method, 1, obj, -254.00952321, running time, 3.79104089737, 
i, 5, Q, 2, method, 2, obj, -298.483849647, running time, 1.74282193184, 
i, 5, Q, 2, method, relaxed, obj, -240.353061297, running time, 0.183839797974, 
i, 5, Q, 3, method, 1, obj, -253.849366573, running time, 8.58139896393, 
i, 5, Q, 3, method, 2, obj, -299.490607247, running time, 2.56162285805, 
i, 5, Q, 3, method, relaxed, obj, -240.353061297, running time, 0.217274904251, 
i, 5, Q, 4, method, 1, obj, -254.199441754, running time, 13.1927499771, 
i, 5, Q, 4, method, 2, obj, -299.728172275, running time, 3.96491408348, 
i, 5, Q, 4, method, relaxed, obj, -240.353061297, running time, 0.200142145157, 
i, 5, Q, 5, method, 1, obj, -253.935924656, running time, 18.7594730854, 
i, 5, Q, 5, method, 2, obj, -298.497882838, running time, 5.55163502693, 
i, 5, Q, 5, method, relaxed, obj, -240.353061297, running time, 0.2128469944, 
i, 5, Q, 6, method, 1, obj, -253.283147435, running time, 19.8497951031, 
i, 5, Q, 6, method, 2, obj, -298.253721538, running time, 6.58783316612, 
i, 5, Q, 6, method, relaxed, obj, -240.353061297, running time, 0.196547031403, 
i, 5, Q, 7, method, 1, obj, -253.093645126, running time, 26.3762860298, 
i, 5, Q, 7, method, 2, obj, -299.144769109, running time, 8.08304786682, 
i, 5, Q, 7, method, relaxed, obj, -240.353061297, running time, 0.191709041595, 
i, 5, Q, 8, method, 1, obj, -253.840279467, running time, 39.0677409172, 
i, 5, Q, 8, method, 2, obj, -298.71393503, running time, 9.03245306015, 
i, 5, Q, 8, method, relaxed, obj, -240.353061297, running time, 0.181488990784, 
i, 5, Q, 9, method, 1, obj, -253.618730436, running time, 38.0111730099, 
i, 5, Q, 9, method, 2, obj, -299.569433059, running time, 9.51793718338, 
i, 5, Q, 9, method, relaxed, obj, -240.353061297, running time, 0.194832086563, 
i, 5, Q, 10, method, 1, obj, -253.501864237, running time, 44.2130050659, 
i, 5, Q, 10, method, 2, obj, -302.01785634, running time, 10.5233719349, 
i, 5, Q, 10, method, relaxed, obj, -240.353061297, running time, 0.183325052261, 
i, 6, Q, 1, method, 1, obj, -96.4801713935, running time, 1.04524183273, 
i, 6, Q, 1, method, 2, obj, -256.863820245, running time, 1.16114783287, 
i, 6, Q, 1, method, relaxed, obj, -83.1534398733, running time, 0.113634824753, 
i, 6, Q, 2, method, 1, obj, -94.8076571912, running time, 4.68406796455, 
i, 6, Q, 2, method, 2, obj, -254.887920122, running time, 2.53217387199, 
i, 6, Q, 2, method, relaxed, obj, -83.1534398733, running time, 0.118171930313, 
i, 6, Q, 3, method, 1, obj, -94.7100474716, running time, 15.1544880867, 
i, 6, Q, 3, method, 2, obj, -253.686691432, running time, 8.02517390251, 
i, 6, Q, 3, method, relaxed, obj, -83.1534398733, running time, 0.110816001892, 
i, 6, Q, 4, method, 1, obj, -94.6320702557, running time, 28.9940860271, 
i, 6, Q, 4, method, 2, obj, -253.376542506, running time, 17.0497891903, 
i, 6, Q, 4, method, relaxed, obj, -83.1534398733, running time, 0.114953041077, 
i, 6, Q, 5, method, 1, obj, -94.3266835195, running time, 169.625511885, 
i, 6, Q, 5, method, 2, obj, -255.695027812, running time, 23.2489891052, 
i, 6, Q, 5, method, relaxed, obj, -83.1534398733, running time, 0.118878126144, 
i, 6, Q, 6, method, 1, obj, -94.1167960367, running time, 47.9024338722, 
i, 6, Q, 6, method, 2, obj, -254.534185214, running time, 50.0070979595, 
i, 6, Q, 6, method, relaxed, obj, -83.1534398733, running time, 0.11798286438, 
i, 6, Q, 7, method, 1, obj, -94.0355130215, running time, 96.7282390594, 
i, 6, Q, 7, method, 2, obj, -254.624570116, running time, 59.2874429226, 
i, 6, Q, 7, method, relaxed, obj, -83.1534398733, running time, 0.116100072861, 
i, 6, Q, 8, method, 1, obj, -93.969028812, running time, 102.591953039, 
i, 6, Q, 8, method, 2, obj, -253.191461986, running time, 158.998769045, 
i, 6, Q, 8, method, relaxed, obj, -83.1534398733, running time, 0.123468875885, 
i, 6, Q, 9, method, 1, obj, -94.0199548297, running time, 128.029760838, 
i, 6, Q, 9, method, 2, obj, -254.024169965, running time, 107.099729061, 
i, 6, Q, 9, method, relaxed, obj, -83.1534398733, running time, 0.1152780056, 
i, 6, Q, 10, method, 1, obj, -93.9247851593, running time, 108.856281042, 
i, 6, Q, 10, method, 2, obj, -253.985559361, running time, 120.843927145, 
i, 6, Q, 10, method, relaxed, obj, -83.1534398733, running time, 0.11652803421, 
i, 7, Q, 1, method, 1, obj, -291.936945994, running time, 2.69514012337, 
i, 7, Q, 1, method, 2, obj, -292.240477895, running time, 1.20268392563, 
i, 7, Q, 1, method, relaxed, obj, -271.316671014, running time, 0.159336090088, 
i, 7, Q, 2, method, 1, obj, -278.595570053, running time, 6.55472016335, 
i, 7, Q, 2, method, 2, obj, -279.339013962, running time, 3.15116500854, 
i, 7, Q, 2, method, relaxed, obj, -271.316671014, running time, 0.173102140427, 
i, 7, Q, 3, method, 1, obj, -278.436895301, running time, 11.6420781612, 
i, 7, Q, 3, method, 2, obj, -278.797921841, running time, 11.2268779278, 
i, 7, Q, 3, method, relaxed, obj, -271.316671014, running time, 0.151895999908, 
i, 7, Q, 4, method, 1, obj, -278.531004354, running time, 20.5637631416, 
i, 7, Q, 4, method, 2, obj, -280.320372471, running time, 49.3595769405, 
i, 7, Q, 4, method, relaxed, obj, -271.316671014, running time, 0.190685033798, 
i, 7, Q, 5, method, 1, obj, -278.318098097, running time, 36.541260004, 
i, 7, Q, 5, method, 2, obj, -280.151974097, running time, 116.300606012, 
i, 7, Q, 5, method, relaxed, obj, -271.316671014, running time, 0.171230077744, 
i, 7, Q, 6, method, 1, obj, -278.368214942, running time, 16.6006081104, 
i, 7, Q, 6, method, 2, obj, -279.161311733, running time, 102.699313879, 
i, 7, Q, 6, method, relaxed, obj, -271.316671014, running time, 0.175671815872, 
i, 7, Q, 7, method, 1, obj, -278.733636942, running time, 19.4843900204, 
i, 7, Q, 7, method, 2, obj, -280.31458714, running time, 603.17965889, 
i, 7, Q, 7, method, relaxed, obj, -271.316671014, running time, 0.175909042358, 
i, 7, Q, 8, method, 1, obj, -278.566079324, running time, 22.0767309666, 
i, 7, Q, 8, method, 2, obj, -279.930758958, running time, 603.746311188, 
i, 7, Q, 8, method, relaxed, obj, -271.316671014, running time, 0.153870105743, 
i, 7, Q, 9, method, 1, obj, -278.660142609, running time, 26.3936388493, 
i, 7, Q, 9, method, 2, obj, -278.841223551, running time, 603.869432926, 
i, 7, Q, 9, method, relaxed, obj, -271.316671014, running time, 0.164371013641, 
i, 7, Q, 10, method, 1, obj, -278.656095425, running time, 24.0626571178, 
i, 7, Q, 10, method, 2, obj, -278.942477969, running time, 604.271996975, 
i, 7, Q, 10, method, relaxed, obj, -271.316671014, running time, 0.184425115585, 
i, 8, Q, 1, method, 1, obj, -475.621980912, running time, 1.0313141346, 
i, 8, Q, 1, method, 2, obj, -485.740685698, running time, 1.23248791695, 
i, 8, Q, 1, method, relaxed, obj, -462.99980997, running time, 0.156943082809, 
i, 8, Q, 2, method, 1, obj, -474.332528557, running time, 6.16519999504, 
i, 8, Q, 2, method, 2, obj, -480.078644285, running time, 2.65819787979, 
i, 8, Q, 2, method, relaxed, obj, -462.99980997, running time, 0.16938996315, 
i, 8, Q, 3, method, 1, obj, -472.20943104, running time, 14.9393689632, 
i, 8, Q, 3, method, 2, obj, -479.034883891, running time, 4.35606718063, 
i, 8, Q, 3, method, relaxed, obj, -462.99980997, running time, 0.160189151764, 
i, 8, Q, 4, method, 1, obj, -471.822240605, running time, 42.3682281971, 
i, 8, Q, 4, method, 2, obj, -480.040747398, running time, 9.32315897942, 
i, 8, Q, 4, method, relaxed, obj, -462.99980997, running time, 0.168621063232, 
i, 8, Q, 5, method, 1, obj, -472.358943565, running time, 181.432281971, 
i, 8, Q, 5, method, 2, obj, -478.39941015, running time, 13.7170908451, 
i, 8, Q, 5, method, relaxed, obj, -462.99980997, running time, 0.172867059708, 
i, 8, Q, 6, method, 1, obj, -470.647946999, running time, 64.4350800514, 
i, 8, Q, 6, method, 2, obj, -476.921535205, running time, 13.8146469593, 
i, 8, Q, 6, method, relaxed, obj, -462.99980997, running time, 0.170080900192, 
i, 8, Q, 7, method, 1, obj, -470.840916953, running time, 99.0008141994, 
i, 8, Q, 7, method, 2, obj, -476.346940857, running time, 19.6868700981, 
i, 8, Q, 7, method, relaxed, obj, -462.99980997, running time, 0.164355039597, 
i, 8, Q, 8, method, 1, obj, -470.390405607, running time, 68.897261858, 
i, 8, Q, 8, method, 2, obj, -478.175061418, running time, 71.4793121815, 
i, 8, Q, 8, method, relaxed, obj, -462.99980997, running time, 0.182039022446, 
i, 8, Q, 9, method, 1, obj, -470.753578621, running time, 128.775874138, 
i, 8, Q, 9, method, 2, obj, -476.350194274, running time, 26.0387601852, 
i, 8, Q, 9, method, relaxed, obj, -462.99980997, running time, 0.166292190552, 
i, 8, Q, 10, method, 1, obj, -470.689292453, running time, 320.997058868, 
i, 8, Q, 10, method, 2, obj, -478.364489253, running time, 42.5817098618, 
i, 8, Q, 10, method, relaxed, obj, -462.99980997, running time, 0.157644987106, 
i, 9, Q, 1, method, 1, obj, -375.144155809, running time, 1.45891189575, 
i, 9, Q, 1, method, 2, obj, -378.123258825, running time, 1.04738306999, 
i, 9, Q, 1, method, relaxed, obj, -345.505881805, running time, 0.181432962418, 
i, 9, Q, 2, method, 1, obj, -375.462764719, running time, 4.36176300049, 
i, 9, Q, 2, method, 2, obj, -378.439879595, running time, 2.30660510063, 
i, 9, Q, 2, method, relaxed, obj, -345.505881805, running time, 0.206514120102, 
i, 9, Q, 3, method, 1, obj, -375.064012935, running time, 14.0670928955, 
i, 9, Q, 3, method, 2, obj, -379.609832264, running time, 4.15476083755, 
i, 9, Q, 3, method, relaxed, obj, -345.505881805, running time, 0.213625907898, 
i, 9, Q, 4, method, 1, obj, -374.326201981, running time, 23.8436617851, 
i, 9, Q, 4, method, 2, obj, -381.362546508, running time, 6.72015404701, 
i, 9, Q, 4, method, relaxed, obj, -345.505881805, running time, 0.188146829605, 
i, 9, Q, 5, method, 1, obj, -374.104480199, running time, 44.3976969719, 
i, 9, Q, 5, method, 2, obj, -379.052805275, running time, 8.64656400681, 
i, 9, Q, 5, method, relaxed, obj, -345.505881805, running time, 0.21816110611, 
i, 9, Q, 6, method, 1, obj, -374.100126519, running time, 65.0107760429, 
i, 9, Q, 6, method, 2, obj, -379.656250061, running time, 10.1471099854, 
i, 9, Q, 6, method, relaxed, obj, -345.505881805, running time, 0.177332878113, 
i, 9, Q, 7, method, 1, obj, -374.07654486, running time, 99.7619550228, 
i, 9, Q, 7, method, 2, obj, -378.21507231, running time, 17.1251161098, 
i, 9, Q, 7, method, relaxed, obj, -345.505881805, running time, 0.190864086151, 
i, 9, Q, 8, method, 1, obj, -374.080621509, running time, 116.426667929, 
i, 9, Q, 8, method, 2, obj, -377.30654639, running time, 18.3635070324, 
i, 9, Q, 8, method, relaxed, obj, -345.505881805, running time, 0.193437099457, 
i, 9, Q, 9, method, 1, obj, -374.123841249, running time, 58.623456955, 
i, 9, Q, 9, method, 2, obj, -378.247911825, running time, 32.5740861893, 
i, 9, Q, 9, method, relaxed, obj, -345.505881805, running time, 0.215217113495, 
i, 9, Q, 10, method, 1, obj, -374.128194415, running time, 63.3865799904, 
i, 9, Q, 10, method, 2, obj, -376.574476655, running time, 36.9949378967, 
i, 9, Q, 10, method, relaxed, obj, -345.505881805, running time, 0.191756010056, 
